Facility_Id,Facility_Name,City,State,Zip Code,Address,County,Latitude,Longitude,Industry_Type,Total
1000473,DUBUQUE METROPOLITAN SANITARY LANDFILL,DUBUQUE,IA,52001,14501 HWY 20 W,DUBUQUE,42.47,-90.78,Waste,39455.35
1002365,Ag Processing Inc,Sergeant Bluff,IA,51054,2753 Port Neal Circle,WOODBURY,42.31,-96.36,Other,39500.1
1002458,JOHN DEERE FNDRY WATERLOO,WATERLOO,IA,50701,400 WESTFIELD AVENUE,BLACK HAWK,42.5,-92.35,Other,40664.35
1002426,GNRL MILLS,CEDAR RAPIDS,IA,52404,4800 EDGEWOOD ROAD SOUTHWEST,LINN COUNTY,41.93,-91.72,Other,41009.49
1003605,CITY OF MUSCATINE LANDFILL,Blue Grass,IA,52726,3700 Highway 61,MUSCATINE,41.52,-90.84,Waste,41053.7
1002456,"NGPL Station 108 Truro, IA",TRURO,IA,50257,1580 HIGHWAY G64,WARREN,41.23,-93.78,Petroleum and Natural Gas Systems,44208.3
1007086,US ARMY IOWA ARMY AMMUNITION PLANT-AMERICAN ORDNANCE LLC,MIDDLETOWN,IA,52638,17575 STATE HWY 79,DES MOINES,40.83,-91.28,Other,44349.16
1003898,"BRIDGESTONE AMERICAS TIRE OPERATIONS, LLC",DES MOINES,IA,50313,4600 NW 2nd Street,POLK COUNTY,41.64,-93.62,Other,44732.23
1005953,ANR Pipeline Lineville CS,LINEVILLE,IA,50147,2868 15TH STREET,WAYNE,40.63,-93.54,Petroleum and Natural Gas Systems,45133.29
1010979,NCIRSWA Sanitary Landfill,Fort Dodge,IA,50501,2240 S. 22nd St.,WEBSTER,42.49,-94.17,Waste,45239.5
1006153,GREAT RIVER REGIONAL WASTE AUTHORITY SANITARY LANDFILL,FORT MADISON,IA,52627,2092 303RD AVE,LEE,40.65,-91.32,Waste,45330.3
1006231,NEW NGC INC D/B/A NATIONAL GYPSUM CO,FORT DODGE,IA,50501,1584 SOUTH 22ND STREET,WEBSTER COUNTY,42.49,-94.17,Minerals,45917.13
1010524,Northwest Ia. Area Solid Waste Agency,SHELDON,IA,51201,4540 360th ST.,OBRIEN,43.13,-95.89,Waste,48556.95
1002933,NICHOLS ALUMINUM LLC - Davenport Casting,DAVENPORT,IA,52802,2101 J M MORRIS BOULEVARD,SCOTT COUNTY,41.5,-90.65,Metals,48838.42
1002790,GREEN VALLEY CHEMICAL CORP,CRESTON,IA,50801,1284 N CHERRY ST,UNION COUNTY,41.12,-94.34,Chemicals,49336.39
